modelFileName,cost
1CFC_15_19_1.pdb,170483.790575
1CFC_15_20_1.pdb,35028.265557
1CFC_15_21_2.pdb,35199.2758516
1CFC_15_22_1.pdb,112863.833108
1CFC_15_23_1.pdb,67153.4274208
1CFC_15_24_16.pdb,108205.054951
1CFC_15_25_1.pdb,31881.5702606
1CFC_16_18_1.pdb,229078.169528
1CFC_16_19_1.pdb,23961.8460058
1CFC_16_20_1.pdb,163079.56633
1CFC_16_21_1.pdb,304206.301112
1CFC_16_22_1.pdb,45409.5494301
1CFC_16_23_1.pdb,72318.6695904
1CFC_16_24_13.pdb,109263.324997
1CFC_16_25_1.pdb,164207.637153
1CFC_17_19_4.pdb,46480.265723
1CFC_17_20_2.pdb,80143.2366065
1CFC_17_21_5.pdb,190646.155051
1CFC_17_24_10.pdb,127770.491069
1CFC_17_25_2.pdb,84425.1245898
1CFC_18_20_1.pdb,43450.5302587
1CFC_18_21_2.pdb,68556.6793655
1CFC_18_23_1.pdb,125681.669172
1CFC_18_24_15.pdb,235624.165122
1CFC_18_25_1.pdb,54527.5855419
1CFC_19_20_2.pdb,177607.374874
1CFC_19_21_2.pdb,263723.154471
1CFC_19_22_1.pdb,21096.7301696
1CFC_19_23_1.pdb,117464.587742
1CFC_19_24_16.pdb,124839.716062
1CFC_19_25_1.pdb,188023.452547
1CFC_1_10_1.pdb,63967.0502259
1CFC_1_11_5.pdb,100818.54259
1CFC_1_12_2.pdb,87742.9935159
1CFC_1_13_1.pdb,88534.620319
1CFC_1_14_4.pdb,206643.045688
1CFC_1_15_1.pdb,16141.1015063
1CFC_1_16_1.pdb,270614.815307
1CFC_1_17_5.pdb,154492.736655
1CFC_1_18_1.pdb,50182.9025061
1CFC_1_19_1.pdb,264243.591892
1CFC_1_20_1.pdb,47504.2920536
1CFC_1_21_2.pdb,23665.1617753
1CFC_1_22_1.pdb,197714.645696
1CFC_1_23_1.pdb,111054.583247
1CFC_1_24_16.pdb,191419.993954
1CFC_1_25_1.pdb,44646.433568
1CFC_1_2_1.pdb,205252.404997
1CFC_1_3_1.pdb,22218.2716047
1CFC_1_4_1.pdb,73880.427457
1CFC_1_5_1.pdb,49920.8236988
1CFC_1_6_1.pdb,56951.5681564
1CFC_1_7_1.pdb,394065.112298
1CFC_1_8_2.pdb,182725.772491
1CFC_1_9_5.pdb,34398.0444597
1CFC_20_21_3.pdb,113745.889018
1CFC_20_22_1.pdb,161012.541603
1CFC_20_23_1.pdb,40895.9214144
1CFC_20_24_4.pdb,136653.929632
1CFC_20_25_1.pdb,4049.56706552
1CFC_21_22_1.pdb,181036.733336
1CFC_21_23_4.pdb,179759.604822
1CFC_21_24_14.pdb,221886.36843
1CFC_21_25_4.pdb,109216.246651
1CFC_22_23_1.pdb,104033.015083
1CFC_22_24_3.pdb,101941.495836
1CFC_22_25_1.pdb,163299.643298
1CFC_23_24_8.pdb,104471.153441
1CFC_23_25_1.pdb,38020.4742195
1CFC_24_25_4.pdb,125820.308298
1CFC_2_10_4.pdb,55992.4559846
1CFC_2_11_15.pdb,105947.03647
1CFC_2_12_12.pdb,118876.205458
1CFC_2_13_1.pdb,56611.23102
1CFC_2_14_2.pdb,59433.2808992
1CFC_2_15_1.pdb,119089.8287
1CFC_2_16_1.pdb,11802.8733777
1CFC_2_17_4.pdb,15617.8244195
1CFC_2_18_1.pdb,166096.54086
1CFC_2_19_1.pdb,19674.0228071
1CFC_2_20_1.pdb,124402.549958
1CFC_2_21_2.pdb,228817.240369
1CFC_2_22_1.pdb,20384.0150835
1CFC_2_23_1.pdb,58041.87403
1CFC_2_24_13.pdb,106320.239282
1CFC_2_25_1.pdb,125851.332684
1CFC_2_3_1.pdb,120064.718135
1CFC_2_4_1.pdb,59372.2026505
1CFC_2_5_1.pdb,79930.3765946
1CFC_2_6_1.pdb,96681.2525613
1CFC_2_7_1.pdb,50109.8847928
1CFC_2_8_1.pdb,22126.5202297
1CFC_2_9_3.pdb,110501.521927
1CFC_3_10_1.pdb,16552.6635967
1CFC_3_11_11.pdb,100010.260238
1CFC_3_12_2.pdb,85054.3701773
1CFC_3_13_1.pdb,36273.1463701
1CFC_3_14_2.pdb,145027.178523
1CFC_3_15_1.pdb,5708.60933426
1CFC_3_16_1.pdb,177076.07436
1CFC_3_17_2.pdb,89823.4290413
1CFC_3_18_1.pdb,67300.6971502
1CFC_3_19_1.pdb,179241.781372
1CFC_3_20_1.pdb,53564.2617726
1CFC_3_21_3.pdb,34870.4041737
1CFC_3_22_1.pdb,110285.896176
1CFC_3_23_1.pdb,73248.8101449
1CFC_3_24_16.pdb,104297.915668
1CFC_3_25_1.pdb,44665.2904711
1CFC_3_4_1.pdb,44057.8479722
1CFC_3_5_3.pdb,34510.2322197
1CFC_3_6_1.pdb,38067.8746537
1CFC_3_7_2.pdb,291176.785736
1CFC_3_8_1.pdb,113076.169678
1CFC_3_9_2.pdb,19129.4672212
1CFC_4_10_1.pdb,27732.4086409
1CFC_4_11_4.pdb,102103.72231
1CFC_4_12_3.pdb,31867.1597429
1CFC_4_13_1.pdb,51420.442104
1CFC_4_14_3.pdb,333333.060393
1CFC_4_15_1.pdb,33241.827156
1CFC_4_16_1.pdb,97593.0325063
1CFC_4_17_3.pdb,35573.6925079
1CFC_4_18_1.pdb,51030.7260307
1CFC_4_19_1.pdb,102878.998355
1CFC_4_20_1.pdb,20943.5618241
1CFC_4_21_1.pdb,118745.801411
1CFC_4_22_1.pdb,84648.4147086
1CFC_4_23_1.pdb,31977.1320399
1CFC_4_24_4.pdb,104108.898484
1CFC_4_25_1.pdb,21066.3719616
1CFC_4_5_3.pdb,10698.073524
1CFC_4_6_1.pdb,32111.1401787
1CFC_4_7_1.pdb,167828.504807
1CFC_4_8_1.pdb,42997.5014707
1CFC_4_9_3.pdb,41056.1384516
1CFC_5_10_1.pdb,30747.1288187
1CFC_5_11_16.pdb,104149.120352
1CFC_5_12_1.pdb,26169.7455579
1CFC_5_13_1.pdb,49256.1420954
1CFC_5_14_3.pdb,104078.012579
1CFC_5_15_5.pdb,22234.5389406
1CFC_5_16_1.pdb,124211.095924
1CFC_5_17_2.pdb,41904.9191309
1CFC_5_18_2.pdb,42365.7821002
1CFC_5_19_1.pdb,119733.124899
1CFC_5_20_9.pdb,21418.6847618
1CFC_5_21_12.pdb,87448.6975493
1CFC_5_22_6.pdb,100235.087959
1CFC_5_23_1.pdb,46987.1050256
1CFC_5_24_3.pdb,125702.732112
1CFC_5_25_1.pdb,26457.0432601
1CFC_5_6_1.pdb,36469.4770372
1CFC_5_7_1.pdb,202027.725773
1CFC_5_8_2.pdb,71656.6849405
1CFC_5_9_1.pdb,14355.0159697
1CFC_6_10_1.pdb,39881.6397254
1CFC_6_11_10.pdb,113485.082686
1CFC_6_12_2.pdb,34646.075688
1CFC_6_13_1.pdb,83016.4405236
1CFC_6_14_4.pdb,177383.083454
1CFC_6_15_1.pdb,37366.3351892
1CFC_6_16_1.pdb,124332.382627
1CFC_6_17_2.pdb,61747.5246109
1CFC_6_18_1.pdb,103022.32672
1CFC_6_19_1.pdb,167167.351132
1CFC_6_20_1.pdb,28036.5158888
1CFC_6_21_4.pdb,118511.546831
1CFC_6_22_1.pdb,132214.023492
1CFC_6_23_1.pdb,14930.8944952
1CFC_6_24_7.pdb,108799.491658
1CFC_6_25_1.pdb,20999.6497259
1CFC_6_7_1.pdb,245647.457329
1CFC_6_8_1.pdb,56642.4691566
1CFC_6_9_2.pdb,28478.9660265
1CFC_7_10_1.pdb,188061.641085
1CFC_7_11_9.pdb,210946.851834
1CFC_7_12_3.pdb,250682.701002
1CFC_7_13_1.pdb,170812.563057
1CFC_7_14_2.pdb,80692.4527541
1CFC_7_15_1.pdb,281106.798041
1CFC_7_16_1.pdb,29903.462366
1CFC_7_17_2.pdb,85815.3434547
1CFC_7_19_1.pdb,23381.2592608
1CFC_7_20_1.pdb,254480.121717
1CFC_7_21_1.pdb,409022.493233
1CFC_7_22_1.pdb,76252.235602
1CFC_7_23_1.pdb,171891.033834
1CFC_7_24_13.pdb,107622.874566
1CFC_7_25_1.pdb,267889.965242
1CFC_7_8_1.pdb,95950.6063741
1CFC_7_9_2.pdb,264582.145318
1CFC_8_10_1.pdb,64388.2088942
1CFC_8_11_11.pdb,102896.845743
1CFC_8_12_8.pdb,217676.253806
1CFC_8_13_1.pdb,93201.0147067
1CFC_8_14_2.pdb,117874.953963
1CFC_8_15_1.pdb,109878.181073
1CFC_8_16_1.pdb,29125.7022269
1CFC_8_17_2.pdb,21695.1184472
1CFC_8_18_1.pdb,167631.570448
1CFC_8_19_2.pdb,70607.2716505
1CFC_8_20_1.pdb,84013.2252077
1CFC_8_21_1.pdb,243372.87718
1CFC_8_22_1.pdb,72355.8369116
1CFC_8_23_1.pdb,20756.7454558
1CFC_8_24_1.pdb,142586.018224
1CFC_8_25_1.pdb,81985.9557868
1CFC_8_9_2.pdb,89964.0124571
1CFC_9_10_2.pdb,25838.6063904
1CFC_9_12_1.pdb,38876.6595608
1CFC_9_13_4.pdb,57728.9928911
1CFC_9_14_6.pdb,149879.913853
1CFC_9_16_3.pdb,155659.555802
1CFC_9_17_1.pdb,58786.7446539
1CFC_9_19_4.pdb,186520.287682
1CFC_9_20_2.pdb,42215.9511968
1CFC_9_21_3.pdb,177091.185274
1CFC_9_22_2.pdb,121215.143102
1CFC_9_23_3.pdb,53141.3661852
1CFC_9_24_2.pdb,196955.201084
